"clusters","within_ss"
1,12131365.9999096
2,2857876.37875809
3,1199688.0003122
4,789757.736674422
5,582041.997383462
6,291207.767765481
7,250146.167818149
8,234872.683515568
9,226917.793849004
10,210406.050164209
11,207245.138196354
12,205178.233427339
13,204023.637359039
14,201289.352613786
15,200666.667752453
